                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96408,                 2.3364,                  1.349,                0.97531,                      1,                  0.995,                0.80217,                0.45499,                 1.0284,                 1.0084,                 0.0802,                 0.0022,                 0.0022
                      1,                0.88575,                 1.1958,                 1.2324,                0.93012,                  0.875,                 0.9081,                 0.7771,                0.38996,                 0.7519,                0.98457,               0.059455,              0.0044554,              0.0044554
                      2,                0.85686,                 0.8385,                 1.2456,                0.98946,                  0.875,                  0.891,                0.74481,                0.78261,                 0.6096,                 1.5308,               0.038665,              0.0066654,              0.0066654
                      3,                0.90115,                 1.0604,                 1.2672,                0.98452,                  0.875,                0.87775,                0.65727,                0.83776,                0.78224,                 1.4299,                0.01783,              0.0088297,              0.0088297
                      4,                0.88783,                 1.1568,                 1.2433,                0.99709,                  0.875,                 0.8809,                 0.5502,                 1.0136,                0.81834,                 1.4524,               0.009604,               0.009604,               0.009604
                      5,                0.96711,                0.92558,                 1.2863,                0.86631,                  0.875,                0.82932,                0.52831,                 0.7723,                0.91274,                 1.3333,               0.009604,               0.009604,               0.009604
                      6,                0.91605,                 1.0236,                 1.2206,                0.87432,                  0.875,                0.81523,                   0.62,                0.86109,                0.80541,                 1.4108,               0.009505,               0.009505,               0.009505
                      7,                0.93203,                0.90257,                  1.249,                0.94392,                  0.625,                0.80005,                0.54534,                 1.0545,                 1.0499,                 1.6085,               0.009406,               0.009406,               0.009406
                      8,                0.93635,                0.97963,                 1.2297,                 0.5863,                   0.75,                0.67612,                0.43208,                 1.3689,                 1.3268,                 1.8579,               0.009307,               0.009307,               0.009307
                      9,                 0.9248,                 1.0319,                 1.2424,                0.78881,                    0.5,                0.66418,                0.54214,                0.80577,                 1.2072,                 1.5069,               0.009208,               0.009208,               0.009208
                     10,                0.94938,                0.91816,                 1.2629,                0.83027,                0.61351,                0.61953,                 0.5203,                 1.1623,                 1.0273,                 1.7173,               0.009109,               0.009109,               0.009109
                     11,                0.89777,                0.94825,                 1.2058,                0.71439,                   0.75,                0.78374,                0.58752,                0.83393,                0.98338,                 1.3029,                0.00901,                0.00901,                0.00901
                     12,                0.86653,                0.89783,                 1.1573,                0.94879,                    0.5,                0.70012,                 0.5357,                 1.0547,                  1.065,                 1.4409,               0.008911,               0.008911,               0.008911
                     13,                0.82734,                0.85005,                 1.1684,                0.59086,                  0.625,                0.54142,                0.46018,                 0.8054,                 1.0513,                 1.2862,               0.008812,               0.008812,               0.008812
                     14,                0.86032,                0.84519,                  1.184,                0.79196,                 0.4799,                0.60567,                0.52001,                0.98015,                0.94658,                 1.6228,               0.008713,               0.008713,               0.008713
                     15,                0.82879,                0.80857,                 1.1509,                0.74731,                0.74059,                0.67497,                0.52516,                 1.0835,                0.96098,                  1.736,               0.008614,               0.008614,               0.008614
                     16,                0.93326,                0.87698,                 1.2314,                0.83206,                0.62023,                0.67824,                0.44605,                 1.3607,                  1.373,                 2.0929,               0.008515,               0.008515,               0.008515
                     17,                 0.9081,                0.90974,                 1.2519,                0.68888,                  0.625,                0.65361,                0.39522,                 1.1365,                 1.4077,                 1.8917,               0.008416,               0.008416,               0.008416
                     18,                0.88691,                 0.7996,                 1.2352,                0.58728,                   0.75,                0.65534,                0.54694,                 1.2852,                0.78237,                 2.1078,               0.008317,               0.008317,               0.008317
                     19,                0.93123,                0.88684,                 1.2672,                 0.6548,                   0.75,                0.67598,                0.54185,                  1.131,                 1.0114,                 1.7709,               0.008218,               0.008218,               0.008218
                     20,                0.85496,                0.81419,                 1.1741,                0.64757,                   0.75,                0.63417,                0.51722,                 1.0613,                0.96518,                 1.9412,               0.008119,               0.008119,               0.008119
                     21,                0.77523,                0.72711,                 1.1255,                0.69314,                  0.625,                0.61816,                0.52544,                 1.0382,                0.85462,                 1.6044,                0.00802,                0.00802,                0.00802
                     22,                0.81517,                0.74377,                 1.1518,                0.66376,                   0.75,                0.66882,                0.46508,                 1.1191,                0.96671,                 1.6686,               0.007921,               0.007921,               0.007921
                     23,                0.79507,                0.77185,                 1.1332,                0.75219,                  0.875,                0.75556,                0.45588,                 0.9613,                0.77962,                 1.6923,               0.007822,               0.007822,               0.007822
                     24,                 0.7913,                0.69376,                 1.1086,                0.67897,                  0.625,                0.61734,                0.50085,                   1.04,                0.79289,                 1.8107,               0.007723,               0.007723,               0.007723
                     25,                0.91515,                 1.0708,                 1.2256,                 0.6677,                  0.625,                0.67828,                0.54347,                 1.1362,                0.97982,                  1.891,               0.007624,               0.007624,               0.007624
                     26,                0.84515,                0.73033,                 1.1886,                0.82924,                0.60966,                0.68883,                0.52541,                0.95207,                0.88471,                  1.586,               0.007525,               0.007525,               0.007525
                     27,                0.89842,                0.80344,                 1.2228,                0.87131,                0.84914,                0.84812,                0.53435,                0.94896,                0.83424,                 1.7122,               0.007426,               0.007426,               0.007426
                     28,                0.78002,                0.71886,                 1.1217,                 0.8461,                   0.75,                0.72724,                0.49344,                  1.169,                0.60353,                 1.9998,               0.007327,               0.007327,               0.007327
                     29,                0.83377,                0.69711,                 1.1825,                0.84897,                   0.75,                0.71309,                0.44579,                 1.3689,                0.63011,                 2.1804,               0.007228,               0.007228,               0.007228
                     30,                0.79659,                0.70424,                 1.1479,                0.85664,                0.74734,                0.73289,                0.48465,                 1.3349,                 0.7468,                 2.1855,               0.007129,               0.007129,               0.007129
                     31,                0.81407,                0.71192,                 1.1697,                0.85387,                 0.7328,                 0.7341,                 0.5828,                0.77351,                0.83596,                 1.4215,                0.00703,                0.00703,                0.00703
                     32,                0.79926,                 0.6728,                 1.1629,                0.80134,                  0.875,                0.84739,                0.50045,                  1.101,                0.94286,                 1.7587,               0.006931,               0.006931,               0.006931
                     33,                 0.8859,                0.69661,                 1.2568,                0.85824,                  0.875,                0.92833,                 0.4728,                 1.4513,                0.99209,                 2.1948,               0.006832,               0.006832,               0.006832
                     34,                0.71949,                0.65673,                 1.0892,                0.75647,                   0.75,                 0.7315,                0.57147,                 1.1453,                0.85994,                 1.8235,               0.006733,               0.006733,               0.006733
                     35,                0.71449,                0.62565,                 1.0815,                0.74109,                   0.75,                0.71449,                 0.5363,                 1.1859,                0.82945,                 1.8747,               0.006634,               0.006634,               0.006634
                     36,                0.76586,                0.67237,                 1.1465,                0.85682,                  0.875,                0.94602,                0.54199,                 1.3195,                0.88048,                 1.8779,               0.006535,               0.006535,               0.006535
                     37,                0.67407,                0.61164,                 1.0682,                0.72182,                   0.75,                0.68911,                0.51912,                 1.2593,                0.98975,                 1.7632,               0.006436,               0.006436,               0.006436
                     38,                0.76026,                0.61331,                 1.1136,                0.96168,                   0.75,                0.82629,                0.66611,                0.96271,                0.74372,                 1.5467,               0.006337,               0.006337,               0.006337
                     39,                0.75553,                  0.618,                  1.142,                0.79314,                  0.625,                0.77197,                0.55005,                 1.1447,                 1.0428,                 1.6201,               0.006238,               0.006238,               0.006238
                     40,                0.69682,                0.65284,                 1.0898,                 0.7294,                   0.75,                0.74516,                0.53815,                 1.1473,                0.88748,                 1.5437,               0.006139,               0.006139,               0.006139
                     41,                0.76646,                0.66364,                 1.1521,                0.59957,                  0.625,                0.54305,                0.41908,                 1.2528,                 1.0264,                 1.7525,                0.00604,                0.00604,                0.00604
                     42,                0.73607,                0.62389,                 1.0978,                0.96407,                  0.625,                 0.7588,                0.56326,                0.88081,                0.76825,                 1.3695,               0.005941,               0.005941,               0.005941
                     43,                0.71516,                0.63522,                 1.1145,                0.65864,                   0.75,                0.67331,                0.56368,                0.93303,                0.70506,                 1.6489,               0.005842,               0.005842,               0.005842
                     44,                0.79354,                0.69291,                 1.2433,                0.74844,                0.74453,                0.64348,                0.51371,                 1.1668,                0.71586,                 2.0244,               0.005743,               0.005743,               0.005743
                     45,                0.68481,                0.58586,                 1.0884,                0.49538,                   0.75,                0.52342,                 0.3759,                 1.3076,                 1.1407,                 2.0658,               0.005644,               0.005644,               0.005644
                     46,                0.72525,                0.62515,                 1.1092,                 0.7321,                0.68736,                0.68805,                0.55745,                 1.0375,                0.88381,                    1.8,               0.005545,               0.005545,               0.005545
                     47,                0.65352,                0.59566,                 1.0739,                0.76594,                  0.875,                0.85604,                0.63163,                0.83999,                0.76642,                 1.4966,               0.005446,               0.005446,               0.005446
                     48,                 0.6761,                0.62687,                 1.0647,                0.65932,                   0.75,                 0.6526,                0.56187,                0.81623,                0.81313,                 1.3989,               0.005347,               0.005347,               0.005347
                     49,                0.67446,                0.62146,                   1.07,                0.83532,                   0.75,                0.80351,                0.59965,                0.86295,                0.71141,                 1.4655,               0.005248,               0.005248,               0.005248
                     50,                0.76511,                 0.7006,                 1.1242,                0.86176,                  0.875,                0.87123,                0.64311,                0.92349,                0.63391,                 1.6053,               0.005149,               0.005149,               0.005149
                     51,                0.63961,                0.57169,                 1.0436,                0.99896,                  0.875,                0.88649,                0.64278,                0.94877,                  0.457,                 1.6223,                0.00505,                0.00505,                0.00505
                     52,                0.66346,                0.59504,                  1.059,                0.83395,                   0.75,                0.70873,                0.59724,                0.90512,                0.73632,                 1.6502,               0.004951,               0.004951,               0.004951
                     53,                0.61079,                0.57534,                 1.0616,                0.74259,                   0.75,                0.67346,                0.54159,                0.94194,                0.65854,                 1.6823,               0.004852,               0.004852,               0.004852
                     54,                0.70185,                0.56336,                 1.1176,                0.98205,                   0.75,                0.86117,                0.63215,                0.93302,                0.62818,                 1.6954,               0.004753,               0.004753,               0.004753
                     55,                  0.631,                0.55274,                 1.0458,                0.98987,                  0.875,                0.96227,                0.66838,                0.85751,                0.73119,                  1.708,               0.004654,               0.004654,               0.004654
                     56,                0.62623,                0.54655,                 1.0507,                0.98287,                   0.75,                0.78464,                0.56722,                 1.0882,                0.84038,                 2.0272,               0.004555,               0.004555,               0.004555
                     57,                0.62107,                0.50083,                 1.0302,                0.97998,                   0.75,                 0.8245,                0.61834,                 1.0283,                 0.6981,                 1.8772,               0.004456,               0.004456,               0.004456
                     58,                0.62678,                0.52254,                 1.0357,                0.87363,                0.86543,                0.87088,                0.64789,                0.94069,                0.55568,                 1.7508,               0.004357,               0.004357,               0.004357
                     59,                  0.607,                0.51833,                 1.0292,                      1,                0.87224,                0.88785,                0.68894,                 0.7868,                0.54498,                 1.6174,               0.004258,               0.004258,               0.004258
                     60,                0.59818,                0.53226,                 1.0347,                0.85424,                0.73474,                0.77548,                0.69844,                0.66066,                0.77944,                 1.3397,               0.004159,               0.004159,               0.004159
                     61,                0.60188,                0.51553,                 1.0388,                0.74346,                   0.75,                0.74881,                0.66122,                0.94369,                0.88332,                 1.6877,                0.00406,                0.00406,                0.00406
                     62,                0.61368,                0.49494,                  1.028,                0.87031,                0.84214,                0.91232,                0.70659,                 0.8336,                0.60917,                 1.6121,               0.003961,               0.003961,               0.003961
                     63,                0.57736,                0.48807,                0.99756,                0.91367,                  0.625,                0.70605,                0.65547,                0.79411,                0.73673,                 1.5653,               0.003862,               0.003862,               0.003862
                     64,                0.58189,                0.47786,                0.99505,                      1,                0.84615,                0.88785,                0.71216,                0.85817,                0.66946,                 1.6848,               0.003763,               0.003763,               0.003763
                     65,                0.65257,                0.61814,                  1.086,                0.96347,                  0.875,                0.89485,                0.70204,                0.81723,                0.47482,                 1.6209,               0.003664,               0.003664,               0.003664
                     66,                 0.5895,                0.47982,                0.99942,                0.83329,                   0.75,                0.75223,                0.63676,                 0.9091,                0.59015,                 1.6657,               0.003565,               0.003565,               0.003565
                     67,                0.56228,                0.44841,                 1.0009,                0.82271,                   0.75,                0.74346,                0.63907,                0.79544,                0.60347,                  1.503,               0.003466,               0.003466,               0.003466
                     68,                0.53627,                0.44295,                0.98947,                0.85362,                  0.875,                0.84982,                0.67729,                0.93339,                0.69042,                 1.8103,               0.003367,               0.003367,               0.003367
                     69,                0.52987,                0.42401,                 0.9977,                0.83859,                   0.75,                0.73682,                 0.6446,                0.90855,                0.72359,                 1.7012,               0.003268,               0.003268,               0.003268
                     70,                0.55766,                0.46628,                 1.0081,                0.73653,                   0.75,                0.73067,                0.59539,                0.91777,                0.69709,                  1.697,               0.003169,               0.003169,               0.003169
                     71,                0.54507,                0.44222,                0.98244,                 0.7725,                  0.875,                0.84539,                0.62795,                0.89245,                 0.7261,                  1.648,                0.00307,                0.00307,                0.00307
                     72,                0.54492,                0.45232,                0.99532,                 0.8889,                  0.625,                 0.7495,                0.61097,                0.86324,                0.69157,                 1.5504,               0.002971,               0.002971,               0.002971
                     73,                0.57749,                0.46385,                 1.0215,                0.73894,                   0.75,                0.69067,                0.60992,                 1.1104,                0.62943,                  1.932,               0.002872,               0.002872,               0.002872
                     74,                0.52766,                0.43937,                 1.0104,                0.91697,                  0.625,                0.76355,                0.65731,                  1.027,                0.76038,                 1.7231,               0.002773,               0.002773,               0.002773
                     75,                0.53359,                0.45625,                 1.0145,                      1,                 0.5858,                0.74845,                  0.682,                0.73593,                0.73668,                 1.3936,               0.002674,               0.002674,               0.002674
                     76,                0.60607,                0.45483,                 1.0364,                      1,                0.57547,                  0.747,                0.67335,                0.85325,                0.72653,                 1.5335,               0.002575,               0.002575,               0.002575
                     77,                0.54127,                0.43055,                 1.0157,                0.66142,                   0.75,                 0.7344,                0.68419,                0.90634,                0.58907,                 1.6949,               0.002476,               0.002476,               0.002476
                     78,                0.51511,                0.42248,                0.99208,                0.74236,                0.72327,                0.74783,                0.64562,                 0.8586,                0.58039,                 1.6818,               0.002377,               0.002377,               0.002377
                     79,                0.63254,                0.51744,                 1.0536,                0.65979,                   0.75,                 0.7362,                0.64118,                 0.8504,                0.64932,                 1.6361,               0.002278,               0.002278,               0.002278
                     80,                0.52369,                0.39712,                0.98116,                0.72801,                   0.75,                 0.6854,                 0.6002,                 0.9031,                0.59063,                 1.6498,               0.002179,               0.002179,               0.002179
                     81,                0.48485,                0.41041,                0.96695,                0.72799,                   0.75,                0.70879,                0.61571,                0.91398,                0.60116,                  1.617,                0.00208,                0.00208,                0.00208
                     82,                0.51284,                0.40604,                0.98156,                0.64663,                   0.75,                0.70849,                0.61828,                0.93169,                 0.6906,                 1.6086,               0.001981,               0.001981,               0.001981
                     83,                0.48921,                0.39934,                0.98348,                0.71054,                  0.875,                  0.826,                0.64877,                0.92487,                 0.7802,                 1.6085,               0.001882,               0.001882,               0.001882
                     84,                0.47138,                0.38107,                0.95405,                0.72564,                  0.875,                0.83504,                0.60709,                 1.0818,                0.95782,                 1.7387,               0.001783,               0.001783,               0.001783
                     85,                0.47604,                0.39827,                0.97787,                 0.7024,                   0.75,                 0.7475,                0.62852,                0.97756,                0.74592,                  1.574,               0.001684,               0.001684,               0.001684
                     86,                0.48522,                0.39794,                0.97579,                0.83237,                  0.875,                0.87774,                0.66947,                0.93996,                0.80352,                 1.5762,               0.001585,               0.001585,               0.001585
                     87,                0.47556,                0.37998,                0.97057,                0.86365,                   0.75,                0.87695,                0.66597,                0.83941,                0.73286,                  1.498,               0.001486,               0.001486,               0.001486
                     88,                0.45605,                0.37396,                0.97017,                0.87126,                0.84884,                0.90239,                0.65429,                0.81424,                0.75591,                 1.5187,               0.001387,               0.001387,               0.001387
                     89,                0.48282,                0.41544,                0.99183,                0.86901,                0.83305,                0.89567,                0.67232,                0.86908,                0.67754,                 1.5871,               0.001288,               0.001288,               0.001288
                     90,                0.47569,                0.38344,                0.95549,                0.86604,                  0.875,                0.87774,                0.65357,                0.95686,                 0.5388,                 1.6879,               0.001189,               0.001189,               0.001189
                     91,                0.45621,                0.38788,                0.95106,                0.86271,                  0.875,                0.88059,                0.62179,                0.91646,                0.64603,                 1.5782,                0.00109,                0.00109,                0.00109
                     92,                0.46049,                0.39309,                0.96368,                0.85918,                  0.875,                 0.8786,                0.61539,                 1.0412,                0.58986,                 1.7115,               0.000991,               0.000991,               0.000991
                     93,                0.46377,                0.36352,                0.95761,                0.90982,                  0.875,                0.89485,                0.61565,                 1.0339,                0.61596,                 1.7203,               0.000892,               0.000892,               0.000892
                     94,                0.48918,                0.39397,                0.95565,                0.87463,                  0.875,                0.89399,                0.64603,                 1.1417,                0.52003,                 1.8835,               0.000793,               0.000793,               0.000793
                     95,                0.43215,                0.35574,                0.95348,                0.88921,                  0.875,                0.89399,                 0.6642,                 1.0722,                0.53754,                 1.7726,               0.000694,               0.000694,               0.000694
                     96,                0.49567,                0.38301,                0.99421,                0.88183,                  0.875,                0.89399,                0.65691,                 1.0379,                0.46471,                 1.7403,               0.000595,               0.000595,               0.000595
                     97,                0.45735,                0.36819,                0.96927,                0.91011,                  0.875,                0.89485,                 0.6668,                 1.0722,                0.44958,                 1.7832,               0.000496,               0.000496,               0.000496
                     98,                0.43029,                0.35456,                0.95002,                0.88787,                  0.875,                0.89684,                0.66355,                0.94984,                0.50637,                 1.5989,               0.000397,               0.000397,               0.000397
                     99,                0.44106,                 0.3429,                0.95529,                0.91325,                  0.875,                0.89684,                0.66791,                  1.115,                0.42857,                 1.8605,               0.000298,               0.000298,               0.000298
